@relation weather
@attribute temperature real
@attribute humidity real
@attribute pressure real
@attribute luminosity real
@data
34,44,85227.00,3346
32,45,85221.00,3346
30,47,85225.00,3184
30,47,85230.00,3184
27,46,85225.00,3346
25,46,85222.00,3346
25,46,85220.00,3184
30,50,85229.00,3184
30,50,85222.00,3346
30,50,85218.00,3184
30,50,85217.00,3346
30,49,85220.00,3184
30,49,85222.00,3526
30,50,85215.00,3346
30,51,85216.00,3526
30,48,85214.00,3526
30,49,85213.00,3526
30,50,85214.00,2066
30,49,85209.00,3526
30,50,85210.00,3526
30,51,85211.00,3526
30,52,85205.00,3526
30,52,85209.00,3526
30,57,85205.00,3526
30,52,85203.00,3526
30,52,85210.00,3725
30,53,85202.00,3526
30,52,85210.00,3725
31,51,85202.00,3526
30,52,85208.00,3526
30,52,85210.00,3949
30,52,85202.00,3725
30,52,85208.00,3725
30,52,85214.00,3725
30,52,85209.00,3526
30,52,85201.00,3725
30,52,85213.00,3725
30,52,85212.00,3725
30,52,85208.00,3725
30,52,85210.00,3725
30,53,85210.00,3725
30,52,85210.00,3725
30,53,85203.00,3526
30,53,85211.00,3949
30,53,85209.00,3949
30,53,85211.00,3526
30,53,85208.00,3725
30,53,85200.00,3725
30,53,85203.00,3725
30,54,85199.00,3725
30,54,85198.00,3526
31,52,85200.00,3725
30,54,85200.00,3949
30,55,85203.00,3526
30,54,85199.00,3725
31,52,85192.00,3725
31,52,85187.00,3526
31,56,85185.00,3526
31,52,85191.00,3526
31,52,85190.00,3526
31,52,85187.00,3526
31,52,85188.00,3526
31,53,85187.00,3346
31,54,85187.00,3526
31,52,85185.00,3346
31,52,85183.00,3346
32,52,85182.00,3526
31,52,85191.00,3346
31,52,85183.00,3526
31,53,85188.00,3184
31,52,85189.00,3036
31,53,85188.00,3036
31,54,85189.00,2901
31,52,85199.00,2558
31,52,85201.00,2461
31,52,85198.00,2461
31,52,85197.00,2461
31,52,85196.00,2558
31,52,85202.00,2558
31,52,85201.00,2558
30,53,85204.00,2371
30,53,85201.00,2287
25,49,85203.00,2371
32,54,85201.00,2287
30,53,85209.00,2371
30,54,85202.00,2135
30,56,85205.00,2135
30,54,85200.00,2135
30,54,85212.00,2066
30,56,85205.00,2135
30,54,85201.00,2066
30,55,85205.00,2002
30,56,85204.00,2002
30,56,85205.00,1941
30,56,85202.00,1941
30,58,85210.00,1941
30,56,85202.00,2066
30,56,85205.00,1883
29,56,85195.00,1883
30,55,85198.00,1778
31,55,85195.00,1883
29,55,85192.00,1883
29,56,85195.00,1829
29,56,85198.00,1883
29,56,85192.00,1941
29,56,85196.00,2002
29,58,85195.00,1941
30,57,85190.00,1883
29,58,85201.00,1941
29,57,85198.00,2002
29,57,85200.00,2135
29,57,85199.00,1941
29,57,85198.00,1941
29,57,85204.00,2002
29,57,85209.00,1941
29,57,85215.00,1941
29,58,85212.00,2002
