@relation weather
@attribute temperature real
@attribute humidity real
@attribute pressure real
@attribute luminosity real
@data
26,67,85406.00,31
27,66,85410.00,31
27,65,85412.00,31
27,65,85406.00,19
27,65,85407.00,32
27,65,85409.00,33
27,65,85409.00,33
27,65,85415.00,35
25,64,85432.00,4
25,64,85423.00,4
24,65,85423.00,0
24,65,85426.00,0
24,65,85426.00,4
24,66,85428.00,3
24,65,85426.00,3
24,66,85418.00,3
24,66,85417.00,0
24,67,85416.00,0
24,68,85420.00,0
24,68,85423.00,0
24,68,85415.00,0
23,69,85417.00,0
23,70,85418.00,0
23,70,85418.00,0
23,70,85416.00,0
23,70,85417.00,0
23,70,85412.00,0
22,71,85416.00,0
22,72,85420.00,0
22,71,85415.00,0
22,71,85413.00,0
22,72,85415.00,0
22,72,85422.00,0
22,73,85417.00,0
22,73,85418.00,0
22,73,85423.00,0
22,72,85421.00,0
22,73,85403.00,0
21,72,85422.00,0
22,73,85417.00,0
22,73,85419.00,0
25,72,85418.00,0
21,74,85420.00,0
21,74,85420.00,0
22,74,85426.00,0
21,74,85416.00,0
21,73,85418.00,0
21,74,85424.00,0
21,73,85421.00,0
21,74,85423.00,0
21,76,85297.00,0
21,76,85298.00,0
21,76,85296.00,0
21,76,85293.00,0
21,75,85295.00,0
21,75,85289.00,0
21,75,85290.00,0
21,76,85293.00,0
21,76,85289.00,0
21,76,85290.00,0
21,75,85294.00,0
21,75,85291.00,0
21,76,85292.00,0
21,76,85295.00,0
21,76,85294.00,0
20,76,85291.00,0
21,76,85293.00,0
21,76,85287.00,0
20,77,85295.00,0
21,76,85293.00,0
21,77,85288.00,0
21,76,85291.00,0
21,76,85288.00,0
21,76,85290.00,0
20,77,85294.00,0
21,76,85291.00,0
20,77,85291.00,0
20,77,85298.00,0
20,77,85291.00,0
20,77,85290.00,0
20,77,85296.00,0
21,76,85294.00,0
20,77,85290.00,0
20,76,85296.00,0
20,77,85294.00,0
21,76,85289.00,0
20,77,85297.00,0
20,77,85293.00,0
20,77,85294.00,0
20,77,85292.00,0
21,77,85290.00,0
20,78,85294.00,0
20,78,85295.00,0
21,77,85292.00,0
20,78,85292.00,0
21,77,85295.00,0
20,78,85295.00,0
19,77,85288.00,0
20,78,85294.00,0
20,78,85296.00,0
20,78,85292.00,0
20,78,85292.00,0
20,78,85291.00,0
20,78,85294.00,0
20,78,85289.00,0
